,Temp.,Sal.,V,Fe,Co,Ni,Cu,Zn,Mo,Cd,Pb, N-NO3-,N-NH4+,P-PO43- ,Si-SiO2 ,PT,pCO2,DOC,Chl,CH4
St. 1-1,2.80,33.10,8.22,361.13,3.89,17.19,1.84,3.79,79.38,0.62,12.97,6.69,34.79,0.25,59.37,0.40,555.72,,1.3499374,
St. 1-2,2.10,33.89,16.54,68.05,1.45,9.66,1.80,2.04,100.04,0.63,2.24,13.25,28.89,0.50,68.21,0.61,492.15,,1.08147,
St. 1-3,2.00,33.99,15.28,29.03,0.68,8.09,1.89,1.97,101.14,0.61,2.99,12.19,37.51,0.52,62.61,0.68,377.95,,0.984589,
St. 1-4,2.10,33.98,20.38,43.78,0.64,7.85,1.93,1.49,94.65,0.59,7.62,8.18,24.38,0.36,56.98,0.61,330.42,,0.730109,
St. 1-5,2.20,34.00,18.44,43.13,0.79,7.92,2.12,1.87,96.10,0.62,13.08,9.38,37.48,0.37,50.12,0.59,326.61,,1.137463,
St. 1-6,2.20,33.99,23.54,29.90,0.92,8.17,1.97,2.10,108.44,0.64,9.94,11.85,70.62,0.51,59.18,0.62,341.92,,1.260484,
St. 1-7,2.60,34.01,18.05,29.15,0.55,7.34,2.01,2.03,96.23,0.64,,15.26,21.87,0.81,65.63,1.00,340.79,,2.310938,
St. 1-8,2.20,34.50,16.76,29.62,0.49,6.70,1.78,5.47,87.50,0.59,81.93,14.78,50.53,0.76,64.61,0.75,110.32,,1.718716,
St. 1-9,2.10,34.03,21.04,18.15,0.44,6.54,1.84,3.27,89.23,0.58,41.96,15.34,15.60,0.80,62.99,0.80,298.92,,1.586237,
St. 1-10,2.00,34.03,21.85,16.66,0.48,7.29,1.88,1.67,109.22,0.65,,14.37,13.25,0.82,51.29,0.89,317.84,,1.284559,
St. 1-11,2.50,34.00,18.00,32.91,0.51,7.18,1.93,1.85,92.69,0.62,7.45,11.35,9.33,0.51,49.25,0.70,322.46,,1.382526,
St. 1-12,1.90,34.00,19.92,16.14,0.43,7.29,1.85,1.64,105.07,0.64,,16.78,11.24,0.81,63.34,0.68,308.20,,1.4551,
St. 1-13,2.00,34.00,22.94,15.51,0.45,7.29,1.84,2.48,101.32,0.68,4.33,15.81,20.36,0.83,58.74,0.81,312.89,,1.037102,
St. 1-14,2.50,33.92,17.79,46.15,1.50,9.66,2.16,1.41,92.35,0.60,55.33,6.45,6.09,0.28,42.75,0.42,424.09,,0.936046,
St. 1-15,4.40,25.45,74.02,50.43,1.99,11.20,2.15,2.41,107.07,0.60,7.43,9.07,18.54,0.46,59.79,0.65,905.58,,2.3132925,
St. 1-16,2.60,33.90,16.63,31.50,1.23,9.28,1.81,1.79,91.57,0.58,,10.93,15.97,0.49,65.69,0.73,458.76,,0.851394,
St. 1-17,2.40,33.95,19.52,27.84,1.14,9.19,2.07,2.53,100.14,0.59,11.81,11.11,54.24,0.48,62.61,0.70,398.16,,1.355137,
St. 1-18,2.10,34.05,14.59,18.85,0.49,7.14,1.98,2.31,95.20,0.59,24.46,10.57,34.06,0.46,43.47,0.85,326.04,,1.228463,
St. 1-19,2.00,34.03,18.98,39.79,0.56,8.09,2.83,10.66,94.47,0.63,171.96,12.55,52.29,0.59,62.35,0.77,308.06,,1.299444,
St. 1-20,2.30,33.96,20.49,18.11,0.57,7.54,2.01,1.72,110.11,0.64,9.88,9.14,60.48,0.38,57.18,0.63,295.67,,1.194054,
St. 2-1,1.59,33.94,25.51,22.56,0.44,7.04,1.89,5.69,95.03,0.70,39.77,18.73,17.26,1.07,49.78,1.81,,,0.794831,7.79
St. 2-2,1.58,33.97,28.43,37.37,0.50,7.33,1.84,5.77,105.60,0.73,84.14,22.98,16.75,1.45,59.66,1.47,,,0.8232105,9.00
St. 2-3,1.73,33.97,28.73,24.54,0.53,7.43,1.83,4.34,106.87,0.73,13.14,17.79,15.38,0.98,50.52,1.33,,,1.544807,9.17
St. 2-4,1.81,33.96,25.63,30.45,0.56,7.54,2.00,3.27,96.21,0.69,30.41,17.00,14.98,1.06,49.21,1.27,,,1.191034,8.64
St. 2-5,1.78,33.97,25.56,21.69,0.52,7.30,1.88,3.94,95.97,0.71,9.06,17.08,25.68,1.00,49.24,1.23,,,1.127352,7.42
St. 2-6,1.82,33.98,25.56,24.00,0.53,7.19,1.64,4.54,95.26,0.70,53.98,15.25,14.26,0.89,45.65,1.26,,,0.839085,6.93
St. 2-7,1.78,33.97,24.87,29.11,0.58,7.46,1.51,3.71,94.71,0.71,3.75,20.74,15.24,1.17,64.45,1.31,,,1.127352,7.71
St. 2-8,2.64,32.72,43.19,66.82,1.15,8.50,1.66,3.83,94.33,0.70,15.70,18.99,17.65,1.00,58.19,1.18,,,1.6366875,9.25
St. 2-9,1.30,32.81,38.29,27.00,0.73,7.41,2.11,5.43,102.32,0.70,20.44,19.71,17.27,1.19,58.88,1.27,,,2.237572,9.60
St. 2-10,1.77,33.97,18.45,38.70,0.54,8.41,2.32,15.78,72.67,0.66,163.37,20.44,15.41,1.10,54.68,1.37,,,1.047007,7.39
St. 2-11,3.59,32.36,42.13,124.64,1.11,7.60,2.00,3.02,101.89,0.70,,17.90,12.82,0.96,72.58,1.40,,,2.98006,6.52
St. 2-12,1.99,33.84,29.02,34.49,0.64,7.07,1.80,2.61,94.95,0.66,0.81,17.57,15.49,0.92,51.93,1.32,,,1.885039,15.51
St. 2-13,1.92,33.89,30.72,27.13,0.55,7.30,1.82,3.54,103.92,0.68,8.43,18.44,13.08,0.96,54.07,1.15,,,2.221502,13.12
St. 2-14,1.70,33.97,26.93,18.00,0.35,6.67,1.69,5.41,95.18,0.66,,21.87,14.06,1.30,56.36,1.16,,,0.979565,9.92
St. 2-15,1.50,34.01,29.49,28.37,0.44,7.42,1.94,8.29,108.44,0.71,23.42,21.26,14.36,1.28,57.15,1.50,,,0.945409,8.39

